goat_rank_v4,player_name,player_status,goat_score_v4,goat_pct_v4,pillar4_volume,pillar4_peak,pillar4_context,pillar4_honors,era_scalar_v4,individual_brilliance_score,peak_year_v4,peak_era_mult_v4,prime_team_win_pct,avg_team_win_pct,adj_career_ppg,adj_career_rpg,adj_career_apg,career_per,career_ts_pct,career_bpm,career_vorp,adj_career_ws,n_seasons,career_g,mvp,championships,allstar,all_nba_1st,all_nba_2nd,all_nba_3rd,all_def_1st_v4,all_def_2nd_v4,dpoy,rings_adj_v4,stockton_mult_v4
1,Kareem Abdul-Jabbar,historical,75.1,99.0,70.86305012636201,97.68693159506793,50.52684370985875,81.32585445245292,1.0,66.87,1972,1.08,0.6199090909090909,0.6635500000000001,23.81,10.54,3.42,12.9,0.511,-2.1,0.0,258.04,20,74.0,6.0,6.0,19.0,10.0,5.0,0.0,5.0,6.0,0.0,6.0,1.0
2,LeBron James,active,74.4,98.0,71.84721197518837,92.86761433545381,63.09299437640385,69.77918313570487,0.88,75.14,2008,1.0,0.6546363636363636,0.5846086956521739,27.99,7.73,7.66,20.5,0.586,3.0,1.9,288.22,23,45.0,4.0,4.0,20.0,13.0,3.0,3.0,5.0,1.0,0.0,3.7,1.0
3,Michael Jordan,historical,70.47,97.0,55.16542594509884,98.76964580224613,57.508405450940856,70.44520654111447,0.97,66.85,1988,1.08,0.7416,0.648,29.37,5.92,4.95,19.3,0.491,1.7,2.8,204.64,15,82.0,5.0,6.0,14.0,10.0,1.0,0.0,8.0,1.0,1.0,6.0,1.0
4,Tim Duncan,historical,62.53,96.0,58.881383053057064,82.07766110376532,54.69162538413367,54.46613190730837,0.97,58.68,2002,1.0,0.6643636363636364,0.6632105263157895,20.55,11.49,3.2,16.9,0.523,3.0,2.0,220.24,19,61.0,2.0,5.0,15.0,10.0,3.0,2.0,8.0,7.0,0.0,5.0,1.0
5,Nikola Jokic,active,62.16,94.9,44.05494890119574,88.42643132019164,82.94575484682841,33.224598930481285,0.88,100.0,2024,0.9,0.6042857142857143,0.5430909090909091,22.37,11.09,7.54,33.6,0.68,14.8,7.5,139.39,11,51.0,3.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
6,Karl Malone,historical,60.52,93.9,57.50434895459122,86.55716616524211,53.88015680203268,44.152600170502986,0.97,56.11,1996,1.0,0.6730909090909091,0.6501052631578947,25.11,9.91,3.57,17.8,0.555,2.8,1.7,230.9,19,42.0,2.0,0.0,14.0,11.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0
7,Kevin Durant,active,60.5,92.9,60.8049575807532,88.78068404932067,59.893180861888,32.52052235914128,0.88,73.91,2014,0.93,0.6403333333333333,0.58425,28.02,7.05,4.55,20.9,0.635,4.1,3.5,197.36,20,62.0,1.0,2.0,14.0,6.0,5.0,2.0,1.0,0.0,0.0,1.7,1.0
8,Magic Johnson,historical,59.54,91.9,39.610830758063344,94.62835938113565,51.549151106265896,52.38770053475936,1.0,60.21,1989,1.08,0.699875,0.6933846153846154,18.84,6.82,10.3,21.1,0.612,5.2,1.8,146.49,13,32.0,3.0,5.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0
9,Larry Bird,historical,58.91,90.9,42.298915585031445,92.55877640775937,53.845612484018815,46.943617763310854,1.0,57.04,1986,1.08,0.7008181818181818,0.6868461538461539,23.09,9.13,5.92,21.0,0.547,5.5,3.1,138.03,13,45.0,3.0,3.0,12.0,9.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0
10,Kobe Bryant,historical,58.9,89.9,62.8060035684739,79.73801753648364,42.421029582984744,50.63919243586763,0.97,59.8,2006,1.0,0.6475454545454545,0.62375,26.31,5.54,5.07,14.9,0.469,-1.6,0.2,184.87,20,66.0,1.0,5.0,18.0,11.0,2.0,2.0,9.0,3.0,0.0,5.0,1.0
11,Wilt Chamberlain,historical,57.97,88.9,51.50607148581953,84.67580328898833,46.59954923023579,49.1060606060606,1.15,35.44,1966,1.08,0.6257692307692307,0.6319375,28.24,20.37,3.86,,,0.8500000000000001,0.7,235.07,16,,4.0,2.0,13.0,7.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0
12,Kevin Garnett,historical,57.43,87.9,61.00446809224004,84.91446111154741,51.75099619953178,32.0643261257072,0.97,74.05,2004,1.0,0.5910000000000001,0.5319130434782608,17.54,9.94,3.59,12.3,0.491,1.5,0.5,206.36,23,38.0,1.0,1.0,15.0,4.0,4.0,1.0,9.0,3.0,1.0,1.0,1.0
13,Shaquille O'Neal,historical,57.22,86.9,52.50197006492084,91.22836985261392,43.26537947030069,41.88901805781601,0.97,53.75,2000,1.0,0.6928181818181819,0.628904761904762,23.57,10.8,2.45,17.4,0.659,0.3,0.4,191.09,21,37.0,1.0,4.0,15.0,8.0,6.0,0.0,3.0,0.0,0.0,4.0,1.0
14,John Stockton,historical,56.69,85.9,55.173339066191325,86.9829707583968,62.08235431314692,22.52173913043478,0.97,64.05,1990,1.0,0.6587272727272727,0.6404736842105263,13.22,2.65,10.14,21.0,0.577,5.0,4.0,202.67,19,82.0,0.0,0.0,10.0,6.0,5.0,0.0,2.0,3.0,0.0,0.0,0.9
15,Charles Barkley,historical,55.44,84.8,42.94298039986967,99.79129034791487,52.2638370195143,26.77323103154305,0.97,80.62,1989,1.08,0.5233636363636364,0.5245,21.42,11.29,3.8,19.8,0.534,2.0,0.6,168.51,16,20.0,1.0,0.0,11.0,5.0,5.0,1.0,0.0,5.0,0.0,0.0,1.0
16,Stephen Curry,active,55.21,83.8,48.06461315364882,83.26066127385533,52.90824834630101,36.623885918003566,0.88,69.83,2016,0.9,0.645090909090909,0.5781176470588235,25.01,4.74,6.38,22.7,0.636,5.3,2.3,151.03,17,39.0,2.0,4.0,10.0,5.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0
17,Giannis Antetokounmpo,active,54.87,82.8,41.751438620776646,85.14004947773502,60.26855248716315,32.30686662016585,0.88,83.32,2020,0.9,0.6315,0.535923076923077,24.68,10.11,5.11,32.4,0.661,9.4,2.9,126.01,13,35.0,2.0,1.0,9.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0
18,James Harden,active,54.63,81.8,56.11973393128746,82.37595225005892,53.43346722524141,26.598039215686274,0.88,72.84,2018,0.9,0.5938,0.5845217391304348,24.04,5.89,8.03,19.1,0.654,5.0,0.7,205.79,23,12.0,1.0,0.0,10.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
19,Dirk Nowitzki,historical,54.32,80.8,59.316693220197045,85.62880118596644,42.36821973313878,29.981205921103616,0.97,61.76,2005,1.0,0.6342727272727273,0.5511428571428572,21.79,7.83,2.48,9.6,0.469,-3.9,-0.4,220.76,21,51.0,1.0,1.0,14.0,4.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0
20,Hakeem Olajuwon,historical,53.96,79.8,55.5702057798769,79.71209359422572,44.176734478298194,36.38483298457723,0.97,66.0,1993,1.0,0.6000000000000001,0.5706666666666667,20.99,10.46,2.33,14.4,0.478,-0.4,0.6,155.76,18,61.0,1.0,2.0,12.0,6.0,5.0,1.0,5.0,4.0,2.0,2.0,1.0
21,Chris Paul,historical,52.95,78.8,53.106406037579504,86.25481033534908,49.86495800965052,22.58056265984655,0.88,85.61,2008,1.0,0.511090909090909,0.5034761904761905,17.05,4.43,9.25,8.2,0.413,-4.1,-0.1,224.38,21,16.0,0.0,0.0,12.0,4.0,8.0,0.0,1.0,5.0,0.0,0.0,1.0
22,Moses Malone,historical,52.73,77.8,52.66152416753444,81.58734371640492,39.57037675144416,37.08265519646594,1.0,60.68,1981,1.08,0.5033636363636363,0.5016086956521739,17.17,10.38,1.12,12.1,0.499,-3.3,0.0,177.03,23,17.0,3.0,1.0,12.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0
23,Bill Russell,historical,52.73,76.8,53.2901062246357,59.43205083473561,31.847014711476106,66.34313725490196,1.15,18.71,1957,1.08,0.7529090909090909,0.7609230769230769,14.08,19.98,3.71,15.2,0.467,0.0799999999999997,0.327,145.43,13,77.0,5.0,11.0,12.0,3.0,8.0,0.0,0.0,0.0,0.0,11.0,1.0
24,Clyde Drexler,historical,51.54,75.8,54.1655489828506,79.63842786488988,57.50479139098445,14.835852127412231,1.0,75.8,1990,1.0,0.5394615384615384,0.5330588235294117,20.26,5.9,5.28,19.8,0.531,3.4,3.3,139.57,17,70.0,0.0,1.0,10.0,2.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0
